name,price,status,shipping,free_returns,items_sold
31''x8'' Skateboard Bearing 7 Layers Maple Double Kick Deck Concave Upgrade,4289,Brand New,0,False,6
"MOOSE Blank Skateboared Deck 8.25"" STAINED BLUE - With Griptape",2995,Brand New,0,True,
"US Blank Complete Skateboard Stained BLACK 7.75"" Skateboards, Ready to ride",3599,Brand New,0,False,
Element Nyjah Bad Brains Skateboard Deck Sz 8.0in,5750,Brand New,0,False,
Detroit Princess Surfskate Carving Cruiser Skateboard Deck,3997,Brand New,997,False,
"Complete Skateboard 31""x 8"" Double Kick Concave Skateboards Graffiti Culture US",4599,Brand New,0,False,
New Listing,13994,Brand New,0,False,
"Graffiti Culture Complete Skateboard 31""x 8"" Double Kick Concave Skateboards b",4999,Brand New,0,False,2
"31x 8"" Kids Teen Skateboard Double Kick Concave 9 Layer Maple Skateboards Gift!",2599,Brand New,0,False,
"Death skateboards Skull Skateboard Deck 8"" Black White with grip ",4299,Brand New,0,True,
"Death skateboards Skull Skateboard Deck 8"" Black White with grip ",4299,Brand New,0,True,
"Powell Peralta Skateboard Complete Geegah Ripper Maroon 9.75"" x 30""",11995,Brand New,0,True,28
"Santa Cruz Skateboard Deck Contra Allover 8.25"" x 31.8"" with Griptape",5595,Brand New,0,True,15
"Caroma Skateboards for Teens Beginners, 22"" Complete Mini Cruiser Skateboard NEW",3599,Brand New,0,False,
Arcade Skateboard Trainers - Learn Skateboarding Skate Tricks Fast - (Black),4015,Brand New,0,True,
"22"" Skateboard Mini Cruiser Complete Skateboard Plastic Deck for Kids Teens Gift",1998,Brand New,0,False,11
Vlux SkateBoard Deck Black,5900,New (Other),0,False,4
"Premium skateboards Clasic Pentagram Hail Skatan deck Hard rock maple 8.5"" grip",3999,Brand New,0,True,
New Listing,2999,Brand New,0,False,
"Moose Old School 80's Skateboard Complete 30"" Customizer with Hollow Trucks ",7995,Brand New,0,True,
"Skateboards for Beginners, Complete Skateboard 31 x 8, 7 Layer Canadian Maple",4089,Brand New,0,False,3
S4O Complete Full Size Standard Maple Deck Skateboard - Blue,3795,Brand New,0,False,
Skateboard,5000,Pre-Owned,2615,False,34
"SAVE! Trick Complete Skateboard 31""x 8"" Double Kick Concave Skateboards Gift US#",1689,Brand New,0,False,
S4O Complete Full Size Standard Maple Deck Skateboard - Red,3795,Brand New,0,False,
31''X8'' Complete PRO Skateboard Deck Double Kick 9 Layer Canadian Maple Wood_US,3799,Brand New,0,False,
22 Inch Complete Mini Cruiser Skateboard with LED Light Up Wheels for Kids Teens,3599,Brand New,0,False,
"Complete Skateboards with LED Wheels, 22"" Mini Cruiser Skateboard for Beginners",3599,Brand New,0,False,
"Patrick Melcher Pro deck - Death Skateboards 8.25 "" with grip & free shipping",4299,Brand New,0,True,28
Santa Cruz Vintage Skateboard Copers OG,,Brand New,,False,
suicidal tendencies vallely complete skateboard,20000,Pre-Owned,1529,True,
"Blank Complete Skateboard Stained BLACK 31x7.75"" Skateboards, Ready to ride, US",3347,Brand New,0,False,
santa cruz skateboard complete,11000,Pre-Owned,3000,False,
"Punisher Skateboards Cherry Blossom 31"" Complete Skateboard",4999,Brand New,1500,False,
Complete 4 Wheel Skateboard Double Kick Deck Concave With White Wheels 31''x 8'',3699,Brand New,0,False,
Complete Skateboards for Beginners Boys Girls Adults Youth 7 Lays Maple Deck,3999,Brand New,0,False,6
"Skateboards Complete 22"" Mini Retro Skateboard w/ PU Wheel for Kids/Beginners US",2999,Brand New,0,False,
"22"" Skateboard Mini Cruiser Penny Style Board Plastic Deck for Kids Teens",1698,Brand New,0,False,5
"Moose Skateboards Old School 10"" x 33"" Black Blank Skateboard Deck with Grip",3495,Brand New,0,True,179
Blank SKATEBOARD DECK   -  8.5 in - BLACK w/Jessup Grip,2499,Brand New,0,True,53
Used Mini skateboard. Fast Shipping,6000,Pre-Owned,700,False,
"Morf Board Scoot & Skate Combo Set Blue, New in Sealed Box",6500,Brand New,2000,False,
Gift Fun🔥 31x8'' Kids Trick Complete Skateboard Double Kick Concave Skateboards,2599,Brand New,0,False,
RudeBoyz 17 Inch Mini Wooden Cruiser Beginner Skateboard for Toddlers & Children,1998,Pre-Owned,0,False,
Skateboard,2069,Brand New,1085,True,
Beginner Skateboard for Teens Complete Standard 7 Layer Canadian Maple 31''x8'' ,3999,Brand New,0,False,2
